,Player,Age,Pos,G,Tgt/G,Rec/G,Rec Yds/G,Yds/Rec,Rec TD/G,Rec 1D/G,Rec Lng,Ctch%,Yds/Tgt,Att/G,Rush Yds/G,Rush TD,Rush 1D,Rush Lng,Yds/Att,Touch/G,Yds/Touch,Scrim Yds/G,RRTD/G,Fmb/G,hyper_link
409,Juwann Winfree,25,,7.0,1.8571428,1.1428572,8.285714,7.3,0.0,0.71428573,12,0.615,4.5,,,,0,,,1.1428572,7.2499995,8.285714,0.0,0.2857143,https://www.pro-football-reference.com/players/W/WinfJu00.htm
410,C.J. Board,28,wr,6.0,1.0,0.6666667,8.5,12.8,0.0,0.5,38,0.667,8.5,0.16666667,1.0,0,0,6,6.0,0.8333333,11.400001,9.5,0.0,0.0,https://www.pro-football-reference.com/players/B/BoarC.00.htm
411,Mike Boone,26,,8.0,0.25,0.25,2.75,11.0,0.0,0.125,19,1.0,11.0,0.5,4.375,0,2,16,8.75,0.75,9.5,7.125,0.0,0.0,https://www.pro-football-reference.com/players/B/BoonMi00.htm
412,Michael Burton,29,,16.0,0.1875,0.1875,1.9375,10.3,0.0,0.125,20,1.0,10.3,0.5,1.625,1,8,7,3.25,0.6875,5.181818,3.5625,0.0625,0.0,https://www.pro-football-reference.com/players/B/BurtMi00.htm
413,Luke Farrell,24,te,15.0,0.73333335,0.46666667,3.7333333,8.0,0.0,0.2,21,0.636,5.1,,,,0,,,0.46666667,8.0,3.7333333,0.0,0.06666667,https://www.pro-football-reference.com/players/F/FarrLu00.htm
414,Jason Moore,26,wr,2.0,2.0,1.5,28.0,18.7,0.0,1.5,24,0.75,14.0,,,,0,,,1.5,18.666666,28.0,0.0,0.0,https://www.pro-football-reference.com/players/M/MoorJa02.htm
415,Amari Rodgers,22,wr,16.0,0.5,0.25,2.8125,11.3,0.0,0.125,19,0.5,5.6,0.0625,0.6875,0,1,11,11.0,0.3125,11.2,3.5,0.0,0.125,https://www.pro-football-reference.com/players/R/RodgAm00.htm
416,Alex Erickson,29,,17.0,0.23529412,0.1764706,3.235294,18.3,0.0,0.11764706,25,0.75,13.8,,,,0,,,0.1764706,18.333332,3.235294,0.0,0.0,https://www.pro-football-reference.com/players/E/EricAl01.htm
417,Jacob Hollister,28,te,7.0,2.0,1.2857143,7.857143,6.1,0.14285715,0.2857143,11,0.643,3.9,,,,0,,,1.2857143,6.111111,7.857143,0.14285715,0.0,https://www.pro-football-reference.com/players/H/HollJa03.htm
418,Trayveon Williams,24,,5.0,0.4,0.2,0.8,4.0,0.0,0.0,4,0.5,2.0,3.0,10.2,0,4,10,3.3999999,3.2,3.4375,11.0,0.0,0.0,https://www.pro-football-reference.com/players/W/WillTr06.htm
419,Jaelon Darden,22,,9.0,1.3333334,0.6666667,4.7777777,7.2,0.0,0.11111111,29,0.5,3.6,0.11111111,1.2222222,0,1,11,11.0,0.7777778,7.7142854,6.0,0.0,0.0,https://www.pro-football-reference.com/players/D/DardJa00.htm
420,Tom Kennedy,25,,12.0,0.8333333,0.5,4.5,9.0,0.0,0.16666667,15,0.6,5.4,,,,0,,,0.5,9.0,4.5,0.0,0.0,https://www.pro-football-reference.com/players/K/KennTo01.htm
421,Drew Lock,25,qb,6.0,0.16666667,0.16666667,0.16666667,1.0,0.0,0.0,1,1.0,1.0,1.6666666,8.833333,2,5,23,5.2999997,1.8333334,4.909091,9.0,0.33333334,0.33333334,https://www.pro-football-reference.com/players/L/LockDr00.htm
422,Andre Roberts,33,,16.0,0.125,0.0625,2.1875,35.0,0.0,0.0625,35,0.5,17.5,0.1875,1.1875,0,0,9,6.3333335,0.25,13.5,3.375,0.0,0.1875,https://www.pro-football-reference.com/players/R/RobeAn00.htm
423,Mason Rudolph,26,qb,2.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.5,26.5,0,3,26,10.6,2.5,10.6,26.5,0.0,0.5,https://www.pro-football-reference.com/players/R/RudoMa00.htm
424,Mike Thomas,27,wr,12.0,0.9166667,0.41666666,4.3333335,10.4,0.0,0.25,19,0.455,4.7,,,,0,,,0.41666666,10.400001,4.3333335,0.0,0.0,https://www.pro-football-reference.com/players/T/ThomMi04.htm
425,Charlie Woerner,24,te,17.0,0.3529412,0.29411766,3.0588236,10.4,0.0,0.1764706,27,0.833,8.7,,,,0,,,0.29411766,10.4,3.0588236,0.0,0.0,https://www.pro-football-reference.com/players/W/WoerCh00.htm
426,Ross Dwelley,26,te,17.0,0.29411766,0.23529412,3.0,12.8,0.05882353,0.11764706,21,0.8,10.2,,,,0,,,0.23529412,12.75,3.0,0.05882353,0.0,https://www.pro-football-reference.com/players/D/DwelRo00.htm
427,Jimmy Garoppolo,30,QB,15.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.5333333,3.4,3,15,7,1.3421053,2.5333333,1.3421053,3.4,0.2,0.53333336,https://www.pro-football-reference.com/players/G/GaroJi00.htm
428,Jason Huntley,23,,1.0,1.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,13.0,51.0,0,2,18,3.9230769,13.0,3.9230769,51.0,0.0,0.0,https://www.pro-football-reference.com/players/H/HuntJa01.htm
429,Dez Fitzpatrick,24,,4.0,2.0,1.25,12.25,9.8,0.25,1.0,18,0.625,6.1,,,,0,,,1.25,9.8,12.25,0.25,0.0,https://www.pro-football-reference.com/players/F/FitzDe00.htm
430,Rodney Smith,25,,2.0,2.5,2.5,24.0,9.6,0.0,1.0,17,1.0,9.6,,,,0,,,2.5,9.6,24.0,0.0,0.0,https://www.pro-football-reference.com/players/S/SmitRo08.htm
431,Antony Auclair,28,TE,16.0,0.3125,0.3125,2.9375,9.4,0.0625,0.125,15,1.0,9.4,,,,0,,,0.3125,9.4,2.9375,0.0625,0.0,https://www.pro-football-reference.com/players/A/AuclAn00.htm
433,Joe Fortson,26,,6.0,0.8333333,0.8333333,7.8333335,9.4,0.33333334,0.5,27,1.0,9.4,,,,0,,,0.8333333,9.400001,7.8333335,0.33333334,0.0,https://www.pro-football-reference.com/players/F/FortJo01.htm
434,Eric Saubert,27,te,17.0,0.7058824,0.47058824,2.764706,5.9,0.05882353,0.11764706,11,0.667,3.9,,,,0,,,0.47058824,5.875,2.764706,0.05882353,0.0,https://www.pro-football-reference.com/players/S/SaubEr00.htm
435,Wendell Smallwood,27,,3.0,1.6666666,1.3333334,7.3333335,5.5,0.0,0.0,7,0.8,4.4,1.6666666,8.333333,0,2,13,5.0,3.0,5.2222223,15.666667,0.0,0.0,https://www.pro-football-reference.com/players/S/SmalWe00.htm
436,Tre' McKitty,22,te,11.0,0.72727275,0.54545456,4.090909,7.5,0.0,0.27272728,12,0.75,5.6,,,,0,,,0.54545456,7.4999995,4.090909,0.0,0.0,https://www.pro-football-reference.com/players/M/McKiTr00.htm
437,J.J. Taylor,23,,5.0,0.8,0.8,1.6,2.0,0.0,0.0,5,1.0,2.0,3.8,7.4,2,3,15,1.9473685,4.6,1.9565217,9.0,0.4,0.2,https://www.pro-football-reference.com/players/T/TaylJJ01.htm
438,Kalen Ballage,26,,17.0,0.4117647,0.11764706,0.47058824,4.0,0.0,0.0,6,0.28600000000000003,1.1,0.7058824,2.1176472,0,2,13,3.0,0.8235294,3.1428573,2.5882354,0.0,0.0,https://www.pro-football-reference.com/players/B/BallKa00.htm
439,Davis Mills,23,QB,13.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,1.3846154,3.3846154,0,5,11,2.4444444,1.3846154,2.4444444,3.3846154,0.0,0.3846154,https://www.pro-football-reference.com/players/M/MillDa02.htm
440,Tommy Sweeney,26,te,13.0,0.9230769,0.6923077,3.3846154,4.9,0.07692308,0.23076923,13,0.75,3.7,,,,0,,,0.6923077,4.888889,3.3846154,0.07692308,0.07692308,https://www.pro-football-reference.com/players/S/SweeTo00.htm
441,Darren Fells,35,,9.0,0.5555556,0.44444445,4.7777777,10.8,0.0,0.22222222,24,0.8,8.6,,,,0,,,0.44444445,10.75,4.7777777,0.0,0.0,https://www.pro-football-reference.com/players/F/FellDa01.htm
442,Parker Hesse,26,te,8.0,0.75,0.625,5.375,8.6,0.0,0.375,17,0.833,7.2,,,,0,,,0.625,8.6,5.375,0.0,0.0,https://www.pro-football-reference.com/players/H/HessPa00.htm
443,Jakob Johnson,27,fb,17.0,0.29411766,0.23529412,2.5294118,10.8,0.0,0.11764706,29,0.8,8.6,,,,0,,,0.23529412,10.75,2.5294118,0.0,0.0,https://www.pro-football-reference.com/players/J/JohnJa12.htm
444,Matthew Stafford,33,QB,17.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,1.882353,2.5294118,0,8,12,1.34375,1.882353,1.34375,2.5294118,0.0,0.29411766,https://www.pro-football-reference.com/players/S/StafMa00.htm
445,Geno Smith,31,qb,4.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.25,10.5,1,3,12,4.6666665,2.25,4.6666665,10.5,0.25,0.25,https://www.pro-football-reference.com/players/S/SmitGe00.htm
446,Kristian Wilkerson,24,wr,3.0,2.6666667,1.3333334,14.0,10.5,0.6666667,0.6666667,20,0.5,5.3,,,,0,,,1.3333334,10.5,14.0,0.6666667,0.0,https://www.pro-football-reference.com/players/W/WilkKr00.htm
